,Smiles,C18-TFA,C18-NH4,CN-TFA,CN-NH4,Phen-TFA,Phen-NH4,AQ-TFA,AQ-NH4
237,CNC(=O)CN1C(C)=NN(C1=O)C(C)(C)C,1.4090000000000003,1.5660000000000003,1.4580000000000002,1.593,1.508,1.67,1.657,1.181
238,CC1CN(CC(C)N1)C(=O)C=2OC(C)=NC2C,0.743,1.0910000000000002,0.5469999999999999,1.5859999999999999,0.7600000000000001,1.1440000000000001,0.8310000000000001,1.2269999999999999
239,CCCN1CCCCC1C(=O)N2CCCC(N)C2,0.4860000000000001,0.7340000000000001,0.08200000000000007,3.757,0.5080000000000001,0.8390000000000001,0.4960000000000001,0.9420000000000001
240,FC=1C=CC(F)=C(C1)S(=O)(=O)N2CCNCC2,1.544,1.8640000000000003,1.532,2.655,1.6719999999999997,2.025,1.608,2.395
241,NC1CC21CCC=3C=CC=CC32,1.617,2.232,1.431,3.056,1.7309999999999999,2.26,1.6799999999999997,3.167
242,CC=1C=CC=C(C2CCCCN2C(=O)CN)C1C,2.182,2.232,2.038,4.099,2.288,2.35,2.288,3.484
243,CSC1=NN=CN1C=2C=CC=CC2C,2.097,2.222,2.2520000000000002,2.352,2.2439999999999998,2.37,2.476,2.573
244,C1CC2(CCNCC2)O1,0.21999999999999997,-0.040000000000000036,0.08000000000000007,0.7030000000000001,0.247,-0.04499999999999993,0.14900000000000002,0.29500000000000004
245,CC(C)CN1CCC(C1)C(=O)N2CCC3(CCOC3)C2,1.1749999999999998,1.1749999999999998,1.088,2.586,1.2919999999999998,1.287,1.2109999999999999,1.5299999999999998
246,CC1=NOC(C)=C1CNC(=O)[C@H]2C[C@H](F)CN2,0.8270000000000001,1.258,0.631,1.4620000000000002,0.914,1.3929999999999998,0.826,1.3279999999999998
247,CC(NS(=O)(=O)C=1C=CC=CC1)C2CCCO2,2.656,2.662,2.442,2.451,2.6919999999999997,2.685,2.727,2.753
248,CC1CC(N(C1)C(=O)CN)C=2C=CC=C(F)C2,1.9010000000000002,1.8640000000000003,1.7719999999999998,3.6229999999999998,2.007,2.036,2.01,2.643
249,CC(C=1C=CC=CC1)N2C=CN=C2,1.3930000000000002,2.342,1.127,2.666,1.5430000000000001,2.4939999999999998,1.4579999999999997,2.858
250,N=C1SC=CN1CC(=O)NC2CCCC2,1.108,0.8989999999999999,0.7610000000000001,1.955,1.181,1.0699999999999998,1.12,1.2799999999999998
251,CC1(C)CCC(=O)NC1,1.3039999999999998,1.3050000000000002,1.05,1.068,1.359,1.363,1.5579999999999998,1.589
252,CN(C)C(=O)C=1C=CC=C(C1)S(=O)(=O)C,1.205,1.2109999999999999,1.2730000000000001,1.2890000000000001,1.416,1.415,1.342,1.3719999999999999
