Smiles,C18-TFA,C18-NH4,CN-TFA,CN-NH4,Phen-TFA,Phen-NH4,AQ-TFA,AQ-NH4
"C[C@@H]1CCCN[C@@H]1C(=O)O |&1:1,6,r|",1.093,0.615,0.769,0.785,1.825,0.826,1.649,1.211
CN1C=C(NC(=O)C2(CCCC2)C#N)C=N1,2.465,2.486,2.651,2.669,3.105,2.938,3.106,3.141
NC(C(=O)N1CCOC2(CCC2)C1)C=3C=CC=CC3,2.22,2.506,1.995,3.028,2.77,2.979,2.768,3.578
CNC=1SN=C(C)C1C(=O)N2CCC(C)CC2,2.813,3.113,2.911,3.112,3.339,3.494,3.61,3.919
O=C(N(CC#N)C1CC1)C2=CC=CS2,2.948,2.95,3.001,3.011,3.663,3.519,3.513,3.613
CC1=NOC(C)=C1NS(=O)(=O)C=2C=CC=CC2Cl,3.39,3.358,3.508,3.448,3.981,3.829,3.907,4.018
CC1=NOC(C)=C1CN2CCCCC2C(=O)N,1.235,2.378,1.1,2.468,1.975,2.613,1.824,3.064
CN1C(C(CCC1=O)C(=O)O)C2=CC=CS2,2.313,1.387,2.445,0.959,2.969,1.838,2.962,2.039
C1CC2(CN1)CCC=3C=CC=CC3O2,2.239,1.936,2.014,4.702,2.899,2.576,2.836,4.991
CC[C@H](N)C(=O)N1CCC2(CCCC2)C1,2.249,2.513,2.17,3.637,2.618,2.748,2.68,4.121
CC=1C=C(Cl)C=CC1S(=O)(=O)N2CCCC2CN,2.588,2.811,2.023,4.589,3.028,3.115,3.055,4.45
CC(CNS(=O)(=O)C)N1CCCCC1C,1.341,1.308*,1.2,2.172*,1.784,1.642,1.642,1.82
CCC1CCCCN1C(=O)C2CCC2,3.986,3.994,3.503,3.522,4.001,4.003,4.368,4.366
CC1=NOC=2N=C(C)C=C(C(=O)N3CCCC3)C12,2.582,2.587,2.672,2.683,2.947,2.934,2.929,2.933
O=C([C@@H]1CCCO1)N2CCC3(C2)CCCOC3,2.188,2.192,2.176,2.18,2.521,2.51,2.58,2.585
FC(F)OC=1C=CC=CC1C(=O)N2CCOCC2,2.753,2.759,2.784,2.799,3.094,3.089,3.078,3.072
CC1CN(CCN1)S(=O)(=O)C=2C=CC=CC2Cl,2.142,2.756,2.272,3.579,2.566,3.107,2.562,3.509
CCC1OCCCC1C(=O)N2CN(CC)C(=O)C2,2.149,2.153,2.204,2.214,2.491,2.481,2.495,2.499
CC=1C=CC(=C(Cl)C1)S(=O)(=O)N2CCC(N)C2,2.263,2.72,2.378,3.677,2.692,3.073,2.704,3.551
CN(CC=1C=CN=CC1)C(=O)C2CCCO2,1.153,1.799,0.965,2.188,1.541,2.152,1.47,2.264
CS(=O)(=O)N1CCOCC21CCC2,2.398,2.337,??,2.232,2.671,2.654,2.679,2.621
CC(C)C(=O)N1CCCC1C=2C=CC(F)=CC2,3.774,3.781,3.567,3.582,3.964,3.959,4.115,4.119
O=C(CN1CCSCC1)N2CCCCC2,1.545,2.928,1.471,2.842,1.98,3.19,1.892,3.394
CC1CCCN(CC2=NC=C(O2)C(C)(C)C)C1,2.603,4.595,2.58,4.079,2.986,4.259,3.071,5.503
CCN(CC)C(=O)C=1C=NN2C=CC=NC12,2.127,2.13,2.192,2.207,2.448,2.435,2.536,2.544
CCC1N(CCC=2C=CC=CC12)C(=O)CNC,2.469,2.43,2.469,4.768,2.806,2.8,2.818,4.548
CC(C)[C@H](N)C(=O)N1CCOC2(C1)CCCCCC2,2.517,3.08,2.441,3.842,2.901,3.265,2.967,4.296
O=C(CCC=1C=CSC1)N2CCOCC32CCOC3,3.151,3.155,3.119,3.132,3.494,3.489,3.492,3.489
NCC1CCN(C1)C(=O)C=2C(F)=CC(F)=CC2F,???,1.682,???,???,2.194*,2.077*,2.178*,2.47
CNC(=O)C1(CC2CC3CC(C2)C1)C3,3.282,3.287,3.15,3.166,3.478,3.47,3.82,3.841
CN(C1CCCC1)C(=O)CN2C=CC(=O)NC2=O,2.093,2.096,2.101,2.128,2.477,2.479,2.423,2.448
CC(SC1=NN=NN1C)C=2C=CC=CC2,3.753,3.756,3.604,3.619,4.016,4.007,4.002,4.01
CCN(CC)S(=O)(=O)N1CCCC(C1)C(F)(F)F,4.529,4.519,4.1,4.105,4.524,4.513,4.64,4.646
CCN(C1CCCCC1)S(=O)(=O)C=2C=NN(C)C2,3.89,3.891,3.69,3.7,4.068,4.059,4.134,4.143
CC(C1CC1)N(C)C(=O)C2CCCC2,3.953,3.959,3.52,3.538,3.994,3.985,4.28,4.287
CC=1N=C(SC=2C=CN=C(C)N2)OC1C,2.94,3.094,2.839,3.008,3.082,3.264,3.346,3.607
CCN(C)C(=O)C1(CC2CC3CC(C2)C1)C3,4.46,4.462,3.832,3.85,4.339,4.331,4.859,4.883
O=C(CC=1C=CSC1)N2CCOCC32CCOC3,2.74,2.744,2.758,2.77,3.115,3.112,3.087,3.126
COC=1C=CC=CC1C2CCCN2C(=O)CN,???,2.279,???,3.816,2.586,2.673,2.578,3.44*
O=C(N1CCOCC21CCOC2)C=3C=CSC3,2.538,2.544,2.555,2.57,2.92,2.905,2.885,2.914
CC=1C=CC(F)=C(C1)C(=O)NC2(CCC2)C(=O)O,3.044,1.905,3.006,1.516,3.298,2.141,3.33,2.092
OC[C@H]1CCCN1C(=O)NCC=2C=CC=CC2F,???,2.628,???,2.773,2.972,2.954,3.008,3.036
CC=1C=CC=CC1CN2CCCC(O)C2,1.781,2.976,1.721,3.527*,2.206,3.073,2.167,3.959*
CCN(C1CC1)C(=O)C2CCC=CC2,3.801,3.798,3.413,3.43,3.878,3.878,4.122,4.153
CC1CN(C(C)CO1)C(=O)C2=CC=3CCCC3S2,3.9065,3.91,3.5625,3.572,4.037,4.035,4.208,4.253
CC=1C=CC=C(CN2CCCC2(C)CO)C1,2.052,2.625,2.051,4.707,2.499,2.761,2.47,4.11*
CC1CCN(CCS1)C(=O)C=2C=C(C)C=CC2F,4.009,4.011,3.726,3.747,4.204,4.191,4.249,4.3
N#CC1(CCC1)C=2C=CC=CN2,2.653,3.04,2.297,2.83,2.72,3.253,2.762,3.386
CN(C1CCNC1)C(=O)C=2C(C)=NN(C)C2C,1.195,1.087,1.15,2.067,1.53,1.427,1.52,1.864
CC=1C=C(C(=O)N2CCOCC3(CC3)C2)N(C)N1,2.386,2.405,2.466,2.494,2.705,2.705,2.774,2.876
CN1N=CC(Br)=C1CN2C[C@@H](F)C[C@H]2CO,1.304,2.752,1.218,2.799,1.741,3.081,1.604,3.185
CCC1CCCCN1S(=O)(=O)C=2C=NN(C)C2,3.476,3.479,3.371,3.381,3.716,3.707,3.75,3.827
CCCN1N=C(C=CC1=O)C(=O)N2CCSCC2,2.846,2.851,2.892,2.899,3.23,3.206,3.239,3.338
CCC(C)C(=O)N1CSCC1C(=O)O,???,1.359,???,???,2.796,1.599,2.701,1.548
CCOC1CC(O)C21CCN(CC2)C(=O)C3CC(C)C3,3.207,3.226,3.023,3.043,3.405,3.387,3.544,3.659
C=CCC1(CCC1)C(=O)N2CCCC2,3.387,3.394,3.129,3.15,3.572,3.559,3.865,3.936
CNC1CCN(CC1)C=2C=CC=CC2C(F)(F)F,2.81,2.691,2.894,5.949*,3.241,3.269,3.324,5.503
CC1CCCN(C1CN)S(=O)(=O)C=2C=CC=CC2,2.429,2.325*,2.473,4.723,2.772,2.758*,2.786,4.259*
CNC1CCCN(C1)S(=O)(=O)C=2C=CC=C(C)C2,2.303,2.495,2.345,4.492,2.717,2.889,2.727,4.307*
CC(NC(=O)C1CC1)C=2C(C)=NN(C)C2C,1.592,2.132,1.562,2.379,1.905,2.414,1.9,2.647
OC(=O)C1CN(C(=O)C2CCC2)C=3C=CC=CC13,3.146,1.807,3.205,1.601,3.481,2.146,3.425,2.123
CC1CCCCC1N(C)C(=O)C=2C=NN(C)C2C,3.244,3.265,3.194,3.236,3.452,3.467,3.853,3.961
CN(C1CCCCC1)C(=O)C2CC2,3.595,3.602,3.267,3.284,3.717,3.716,4.038,4.133
CCC(C(=O)N1CCS(=O)CC1)C=2C=CC=CC2,2.7,2.696,???,2.783*,3.039,3.027,3.102,3.19
CC1CCCCN1S(=O)(=O)C=2C=CC=CC2C#N,4.063,4.06,3.893,3.9,4.285,4.273,4.259,4.329
CC=1C=CC(F)=C(C1)C(=O)N2CCCC2,3.308,3.317,3.153,3.172,3.561,3.554,3.7,3.762
CC(=O)N1CCCC2(CCCCC2)CC1,4.067,4.078,3.74,3.881,4.108,4.103,4.886,4.893
CC=1C=CC(=C(C)C1)S(=O)(=O)N2CCCC2CN,2.543,2.562,2.572,4.764,2.918,2.94,2.914,4.385*
NCC1CCCN1S(=O)(=O)C=2C=CC=C(Cl)C2,2.377,2.348,2.42,4.558,2.782,2.753,2.725,4.144*
O=C(N1CCOCC1)C2(CCCC2)C#N,2.65,2.664,2.602,2.616,2.995,2.977,2.94,3.004
NC(=O)[C@@H]1C[C@@H](F)CN1CC=2C=CC=CC2C#N,1.731,2.703,1.587,2.88,1.994,3.071,1.902,3.158
COC=1C=CC=CC1NC(=O)N2CCC[C@@H]2CO,?,2.751,???,2.819,3.06,3.064,3.12,3.221
OC1CCCN(C1)C=2C=CC=C(F)C2C#N,3.278,3.283,3.306,3.307,3.565,3.547,3.617,3.714
CC(C)N(C1CC1)C(=O)C2=CC=CS2,3.753,3.761,3.462,3.474,3.909,3.9,4.041,4.119
CC=1C=C(F)C=CC1CN2CCC3(CCOC3)C2,2.142,4.049,2.248,4.377,2.567,3.785,2.533,4.799
CC(CCO)C1=CNC=2C=CC=CC12,3.197,3.192,3.265,3.265,3.497,3.475,3.526,3.621
CN1N=NC=C1C(=O)N2CCCC2C3CCCC3,3.476,3.473,3.351,3.364,3.705,3.695,3.819,3.933
CCOC=1C=CC=CC1C(=O)N2CCN[C@H](C)C2,1.859,2.153,1.765,2.871,2.247,2.483,2.218,3.025
CC1CN(CCN1)S(=O)(=O)C=2C=CC=C(F)C2F,2.272,2.828,2.388,3.694,2.598,3.195,2.574,3.621
CC(C)N(C1CC1)C(=O)C=2C=C(C)ON2,3.367,3.293,3.065,3.082,3.481,3.477,3.567,3.724
CC1CN(CCN1)C(=O)C=2C=C(C)C(F)=CC2Cl,2.152,2.686,2.115,3.619,2.54,2.933,2.561,3.862
CCC1CCCCN1C(=O)C=2SC(C)=NC2C,3.297,3.468,3.101,3.285,3.402,3.614,3.737,4.084
CC=1C=CSC1C(=O)N(CC#N)C2CC2,3.296,3.303,3.248,3.263,3.619,3.619,3.564,3.654
CCS(=O)(=O)N1CCOC2CCCCC21,3.149,3.108,2.894,2.907,3.357,3.357,3.353,3.473
NCC(C(=O)N1CCC2(CCC2)C1)C=3C=CC=CC3,2.656,2.684,2.637,4.882,3.061,3.091,3.11,4.769
CN(C1CCCCC1)C(=O)CC=2C(C)=NOC2C,3.487,3.496,3.364,3.383,3.693,3.696,3.834,3.949
COCC1=NC(C)=C(S1)C(=O)N2CC3(CCC3)CC2C,3.91,3.828,3.488,3.508,3.919,3.936,3.193,4.306
N[C@@H]1CCN(C1)C(=O)C2SCCC=3C=CC=CC23,2.047,2.227,2.046,3.183,2.482,2.629,2.465,3.234
CC1CN(CC(C)N1)C(=O)C=2C=C(C)C=CC2F,1.951,2.533,1.931,3.213,2.33,2.826,2.337,3.382
CC1CCCCN1CC(=O)NC=2C=C(C)ON2,1.859,3.512,1.796,3.458,2.109,3.688,2.053,4.005
CCC(=O)N(C)C=1C(F)=CC=CC1C(=O)O,2.616,1.69,2.641,1.02*,2.891,1.816,2.947,1.829
